course_id,course_title,course_description,course_link,category,rating,instructor,image,is_paid,content_info,lang_s,tracking_id,predictive_score,relevancy_score,instructional_level_simple,last_update_date
6194207,"Full Stack Web Development with Django 5, TailwindCSS, HTMX","Code a full stack Django app using HTML, TailwindCSS, HTMX, and AlpineJS Set up a local Django development environment with Docker and Docker Compose Use Django Class-Based Views to set up advanced filtering and pagination",https://www.udemy.com/course/full-stack-django/,Development,4.6622405,Jose Salvatierra,https://img-c.udemycdn.com/course/100x100/6194207_3214.jpg,TRUE,19 total hours,en,oXG3T266S2uiAF2rSH6nKw,-1.087246895,11689.56543,Beginner,2/12/2025
1693472,SwiftUI Masterclass 2025 – iOS App Development & SwiftData,Develop iOS iPhone and iPad apps with gorgeous layout and design Learn Swift programming language - Essential iOS Development Skill SwiftData framework,https://www.udemy.com/course/swiftui-masterclass-course-ios-development-with-swift/,Development,4.482887,Robert Petras • 44K+ Students • SwiftUI and SwiftData Courses,https://img-c.udemycdn.com/course/100x100/1693472_e1d5_18.jpg,TRUE,37 total hours,en,KqkPugdUTY6LAAZtiuZB2w,-1.089203954,11872.95508,All Levels,4/15/2025
5944188,The Ultimate 70+ Hours iOS Development Bootcamp,"Master the modern declarative UI framework provided by Apple to create beautiful and responsive user interfaces effortlessly. Understand and implement the Model-View design pattern to structure iOS apps for scalability, maintainability, and reusability. Unlock the potential of Core Data to efficiently manage complex data models and enable seamless data persistence within iOS applications.",https://www.udemy.com/course/the-ultimate-60-hours-ios-development-bootcamp/,Development,4.4894342,Mohammad Azam,https://img-c.udemycdn.com/course/100x100/5944188_b816_2.jpg,TRUE,74 total hours,en,qO8RuxmiQb2fpwoofuBd6Q,-1.10712111,11595,All Levels,11/22/2024
1328572,The Ultimate Guide to Game Development with Unity (Official),"Master beginner C# concepts, like variables, ""if"" statements, and arrays Detect collisions, receive user input, and create player movements Create power-ups including triple shots, laser beams, speed boosts, and shields",https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,Development,4.5427566,"Jonathan Weinberger, Unity Technologies, GameDevHQ Team, Thomas Kesler",https://img-c.udemycdn.com/course/100x100/1328572_b05d_5.jpg,TRUE,36.5 total hours,en,6QWUyJDtRBuhiIlGRHo7MA,-1.122708082,11639.3252,Beginner,4/16/2025
3914632,The Complete Web Development Bootcamp,"How to create full stack web application with frontend, backend and database parts and build and run all of the services using Docker with auto reload features How to build Single Page Applications using React and use different React Components, state, props and React hooks such as useState and useEffect Connect frontend application written in React with backend application written in Python by making REST API requests using axios package in the React app",https://www.udemy.com/course/full-stack-web-development-bootcamp/,Development,4.6388903,"Bogdan Stashchuk | 300K Students Worldwide | MBA, PhD",https://img-c.udemycdn.com/course/100x100/3914632_39ed_9.jpg,TRUE,30.5 total hours,en,rJ7sah4qQ9qxn11SJ-MJNw,-1.134494305,11915.11719,All Levels,2/16/2024
4476814,Introduction To Website Development Technologies,Understand HTML and CSS Understand how to use JavaScript and JQuery Understand how to integrate Bootstrap 5 into your website,https://www.udemy.com/course/introduction-to-website-development-technologies/,Development,4.719316,"Trevoir Williams, Learn IT University, Andrii Piatakha",https://img-c.udemycdn.com/course/100x100/4476814_dfbc.jpg,TRUE,8.5 total hours,en,kcwLQbKlRVqFyloGCs-6gQ,-1.139450788,11887.60254,Beginner,10/5/2023
4390930,Android App Development with Kotlin | Beginner to Advanced,"Whether you want to learn Kotlin in order to build your next Android app, or simply need an introduction to language. Kotlin is popular for both Android developers and Java developers. Kotlin is a statically-typed, general purpose programming language used to develop for the Java Virtual Machine and Android devices",https://www.udemy.com/course/android-app-development-with-kotlin-beginner-to-advanced/,Development,4.4117484,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL",https://img-c.udemycdn.com/course/100x100/4390930_5cdc_13.jpg,TRUE,55.5 total hours,en,V0UFh3rAQfSIxej7C8U7UA,-1.14969337,11793.43066,All Levels,4/2/2025
1415652,Practical Web Development for Beginners : 22 Courses in 1,"In depth working knowledge in HTML, CSS, Javascript, XML, JSON, Git and more. Basic & Advanced Operations using PHP, practical projects with PHP In depth working experience on Basic & Advanced MySQL",https://www.udemy.com/course/the-complete-web-development-course/,Development,3.996321,Creative Online School,https://img-c.udemycdn.com/course/100x100/1415652_ad99_4.jpg,TRUE,11.5 total hours,en,CdQkq9x8TsC7dyPmYNq10A,-1.152029276,11731.87207,All Levels,4/15/2025
4341426,Full Stack Web Development Bootcamp with MERN Stack Projects,"Learn to use the latest HTML5 and CSS3 to add unique styling to Bootstrap and React Js with redux, hooks and context This course is the best way to learn  React JS, Angular, Graphql, NodeJs and Mongo DB Learn and create amazing high quality Bootstrap themes and UIs from scratch",https://www.udemy.com/course/full-stack-web-development-bootcamp-with-mern-stack-projects/,Development,4.55921,"Oak Academy, OAK Academy Team",https://img-c.udemycdn.com/course/100x100/4341426_861f_2.jpg,TRUE,66.5 total hours,en,_L9lsKViTAiKCybrVZwldA,-1.153277516,11886.78418,All Levels,4/2/2025
369662,Running a Web Development Business: The Complete Guide,Understand how development stacks work and pick which stack is ideal for you Predict the timeline for starting your business Decide between hiring in-house employees or contractors for your business,https://www.udemy.com/course/the-complete-guide-to-running-a-web-development-business/,Development,4.415797,Evan Kimbrell,https://img-c.udemycdn.com/course/100x100/369662_7246_2.jpg,TRUE,19.5 total hours,en,jPbLSAIUTKaMl0uHL4bY8A,-1.176864743,11645.6748,All Levels,3/27/2025
